"Type","Range","LIB_Chem","Spec_Energy_WhPerKg","kgco2e_kwh","GWP","CO2.Total","CO2","CO2_Biogenic","CO2_LandUseChange","CH4.Total","CH4","CH4_Biogenic","VOC","CO","NOx","PM10","PM2.5","SOx","N2O","CF4","C2F6","BC","POC"
"PUT","200mile","NMC111",178.9,51.6834469536054,9246.16866,7901.9,8019.7,-117.8,0.0051593,42.9037,42.9037,4.672e-07,2.1064,14.8446,10.4706,5.3316,1.5997,51.7069,0.2408,0.0033114,0.0005164,0.0864044,0.183
"PUT","200mile","NMC532",186.8,49.7244042826552,9288.51872,7913.2,8029.4,-116.1,0.0049072,43.9429,43.9429,4.695e-07,2.1699,15.4299,10.967,3.9078,1.4676,68.8839,0.2411,0.0033281,0.000519,0.0837933,0.1841
"PUT","200mile","NMC622",188.8,50.3573708686441,9507.47162,8110,8228,-118,0.0048736,44.6359,44.6359,4.695e-07,2.2404,15.7835,11.4881,3.7928,1.4547,78.0901,0.2466,0.0033281,0.000519,0.0866028,0.1899
"PUT","200mile","NMC811",199.6,49.8199609218437,9944.0642,8472,8603.1,-131.1,0.0024325,47.0135,47.0135,4.707e-07,2.4019,16.5845,12.7445,2.7478,1.3738,94.8754,0.2603,0.0033393,0.0005207,0.0957528,0.2166
"PUT","300mile","LFP",148,40.7086210810811,6024.87592,4916.1,4985.6,-69.5,0.0030206,35.4529,35.4529,4.927e-07,1.3985,11.3456,7.0976,1.2361,0.9175,8.8449,0.1915,0.0034954,0.0005451,0.0665405,0.1528
"PUT","300mile","NCA",201.9,53.0278421991085,10706.32134,9170.2,9307.6,-137.4,0.0026612,49.0568,49.0568,4.679e-07,2.9142,17.3878,13.8589,3.3855,1.4698,103.7,0.2719,0.0033198,0.0005177,0.1063,0.2356
"PUT","300mile","LMO",151,32.0480390728477,4839.2539,3911,3967.9,-56.9,0.0031926,29.7185,29.7185,4.743e-07,1.6228,9.9741,4.7123,2.4249,1.6416,6.1321,0.1562,0.0033644,0.0005247,0.1103,0.2814
"PUT","300mile","NMC111",185.7,50.7075791060851,9416.39744,8034.6,8153,-118.4,0.005353,44.1713,44.1713,4.68e-07,2.1174,14.9982,10.6971,5.4852,1.631,53.3383,0.2399,0.003317,0.0005173,0.0888014,0.1871
"PUT","300mile","NMC532",194.1,48.778733436373,9467.95216,8052.3,8169,-116.8,0.0051,45.3037,45.3037,4.699e-07,2.1842,15.6158,11.2233,4.0127,1.495,71.2642,0.2403,0.0033309,0.0005194,0.086197,0.1884
"PUT","300mile","NMC622",196.3,49.3783061640346,9692.9615,8254.4,8373,-118.6,0.0050664,46.023,46.023,4.699e-07,2.257,15.9808,11.7637,3.8934,1.4816,80.8506,0.2457,0.0033309,0.0005194,0.0891171,0.1945
"PUT","300mile","NMC811",208.1,48.8295278231619,10161.42474,8641.9,8774.2,-132.3,0.0025354,48.6098,48.6098,4.715e-07,2.4265,16.837,13.0922,2.8115,1.3993,98.5366,0.2599,0.0033449,0.0005216,0.0988236,0.2227
