Chemistry,CO2,CH4,N2O,Total_GWP_g_per_ton
NMC(111),2439398.2848968413,160183.00744485014,13475.50929304015,2613056.8016347317
NMC(532),2862617.331791833,187411.55353711185,15780.847133364732,3065809.7324623093
NMC(622),2716193.312087751,177642.13378196093,14963.215251356716,2908798.661121069
NMC(811),2975397.4651397304,193733.0547938509,16341.203025364646,3185471.722958946
NCA,2605725.446172204,169450.6382389441,14279.955730614476,2789456.0401417622
LMO,11597316.600419505,780299.5345655251,66258.62787882474,12443874.762863854
LFP,7158055.06539554,315559.677583331,27972.716575979484,7501587.45955485
