"Category","Impact_Name","Abbr","vehicle_type","Stage","value","labX","lvl","abb_lab","x"
"Primary energy detail","Natural gas","NG","EV","Vehicle production",3161.46965335782,"Natural gas-EV","Natural gasVehicle production","NG","Primary Energy"
"Primary energy detail","Natural gas","NG","ICE","Vehicle production",3348.58491485799,"Natural gas-ICE","Natural gasVehicle production","NG","Primary Energy"
"Primary energy detail","Crude oil","Oil","EV","Vehicle production",3129.71431241677,"Crude oil-EV","Crude oilVehicle production","Oil","Primary Energy"
"Primary energy detail","Crude oil","Oil","ICE","Vehicle production",3723.59340712931,"Crude oil-ICE","Crude oilVehicle production","Oil","Primary Energy"
"Primary energy detail","Coal","Coal","EV","Vehicle production",7084.0397485054,"Coal-EV","CoalVehicle production","Coal","Primary Energy"
"Primary energy detail","Coal","Coal","ICE","Vehicle production",7695.33045013411,"Coal-ICE","CoalVehicle production","Coal","Primary Energy"
"Primary energy detail","Uranium","Uran.","EV","Driving",9750.58571077656,"Uranium-EV","UraniumDriving","Uran.","Non-Renewable Primary Energy"
"Primary energy detail","Uranium","Uran.","ICE","Driving",272.692401484269,"Uranium-ICE","UraniumDriving","","Non-Renewable Primary Energy"
"Primary energy detail","Natural gas","NG","EV","Driving",11658.5351367221,"Natural gas-EV","Natural gasDriving","NG","Non-Renewable Primary Energy"
"Primary energy detail","Natural gas","NG","ICE","Driving",4895.88006755052,"Natural gas-ICE","Natural gasDriving","NG","Non-Renewable Primary Energy"
"Primary energy detail","Crude oil","Oil","EV","Driving",666.089402983709,"Crude oil-EV","Crude oilDriving","","Non-Renewable Primary Energy"
"Primary energy detail","Crude oil","Oil","ICE","Driving",65923.0621026705,"Crude oil-ICE","Crude oilDriving","Oil","Non-Renewable Primary Energy"
"Primary energy detail","Coal","Coal","EV","Driving",1667.43631773779,"Coal-EV","CoalDriving","","Non-Renewable Primary Energy"
"Primary energy detail","Coal","Coal","ICE","Driving",960.082316711268,"Coal-ICE","CoalDriving","","Non-Renewable Primary Energy"
