"Scenario_Sales","Scenario_Lifetime","Scenario_Capacity","Scenario_Grid","Scenario_mpg","Scenario_Recycling","EV_kgCO2eq","EV_kgLithium","ICE_kgCO2eq","ICE_kgLithium","delta_co2","delta_li","metric"
"Ambitious","Long LIB Duration","Reference","Low Oil and Gas Supply","Reference","60%",8537567578133.75,997012843.440733,25607418680643.4,23112.3758907101,-17069851102.5096,996989731.064842,17.1213910942473
"Ambitious","Long LIB Duration","Reference","Low Oil and Gas Supply","Reference","80%",8543311038901.72,900632276.679337,25607418680643.4,23112.3758907101,-17064107641.7417,900609164.303447,18.947295139884
"Ambitious","Long LIB Duration","Reference","Reference case","Improved MPG","0%",9491886848362.59,1286154523.15197,23702724937309.5,23100.3477906484,-14210838088.9469,1286131422.80418,11.0492892382356
"Ambitious","Long LIB Duration","Reference","Reference case","Improved MPG","20%",9497630309130.57,1189773956.39057,23702724937309.5,23100.3477906484,-14205094628.1789,1189750856.04278,11.9395540301827
"Ambitious","Long LIB Duration","Reference","Reference case","Improved MPG","40%",9503373769898.54,1093393389.62918,23702724937309.5,23100.3477906484,-14199351167.4109,1093370289.28139,12.9867724654777
"Ambitious","Long LIB Duration","Reference","Reference case","Improved MPG","60%",9509117230666.52,997012822.867782,23702724937309.5,23100.3477906484,-14193607706.643,996989722.519991,14.2364634118466
"Ambitious","Long LIB Duration","Reference","Reference case","Improved MPG","80%",9514860691434.5,900632256.106387,23702724937309.5,23100.3477906484,-14187864245.875,900609155.758596,15.7536309231992
"Ambitious","Long LIB Duration","Reference","Reference case","Reference","0%",9491886848362.59,1286154523.15197,25607418680643.4,23112.3758907101,-16115531832.2808,1286131410.77608,12.5302373437535
"Ambitious","Long LIB Duration","Reference","Reference case","Reference","20%",9497630309130.57,1189773956.39057,25607418680643.4,23112.3758907101,-16109788371.5128,1189750844.01468,13.5404723203659
"Ambitious","Long LIB Duration","Reference","Reference case","Reference","40%",9503373769898.54,1093393389.62918,25607418680643.4,23112.3758907101,-16104044910.7448,1093370277.25329,14.728811680523
"Ambitious","Long LIB Duration","Reference","Reference case","Reference","60%",9509117230666.52,997012822.867782,25607418680643.4,23112.3758907101,-16098301449.9769,996989710.491891,16.146908318677
"Ambitious","Long LIB Duration","Reference","Reference case","Reference","80%",9514860691434.5,900632256.106387,25607418680643.4,23112.3758907101,-16092557989.2089,900609143.730496,17.8685260984032
"Ambitious","Long LIB Duration","High LIB Capacity","Cambium NREL","Improved MPG","0%",9176210415586.95,1417186140.00587,23702724937309.5,23100.3477906484,-14526514521.7225,1417163039.65808,10.2504186993385
"Ambitious","Long LIB Duration","High LIB Capacity","Cambium NREL","Improved MPG","20%",9182523840753.96,1310899732.40213,23702724937309.5,23100.3477906484,-14520201096.5555,1310876632.05434,11.0767106083813
"Ambitious","Long LIB Duration","High LIB Capacity","Cambium NREL","Improved MPG","40%",9188837265920.96,1204613324.7984,23702724937309.5,23100.3477906484,-14513887671.3885,1204590224.4506,12.0488174125837
"Ambitious","Long LIB Duration","High LIB Capacity","Cambium NREL","Improved MPG","60%",9195150691087.97,1098326917.19466,23702724937309.5,23100.3477906484,-14507574246.2215,1098303816.84687,13.2090720469965
"Ambitious","Long LIB Duration","High LIB Capacity","Cambium NREL","Improved MPG","80%",9201464116254.97,992040509.590924,23702724937309.5,23100.3477906484,-14501260821.0545,992017409.243134,14.6179499330746
"Ambitious","Long LIB Duration","High LIB Capacity","Cambium NREL","Reference","0%",9176210415586.95,1417186140.00587,25607418680643.4,23112.3758907101,-16431208265.0564,1417163027.62998,11.5944375803647
"Ambitious","Long LIB Duration","High LIB Capacity","Cambium NREL","Reference","20%",9182523840753.96,1310899732.40213,25607418680643.4,23112.3758907101,-16424894839.8894,1310876620.02624,12.5297030925463
"Ambitious","Long LIB Duration","High LIB Capacity","Cambium NREL","Reference","40%",9188837265920.96,1204613324.7984,25607418680643.4,23112.3758907101,-16418581414.7224,1204590212.4225,13.6300139627597
"Ambitious","Long LIB Duration","High LIB Capacity","Cambium NREL","Reference","60%",9195150691087.97,1098326917.19466,25607418680643.4,23112.3758907101,-16412267989.5554,1098303804.81877,14.943286108586
"Ambitious","Long LIB Duration","High LIB Capacity","Cambium NREL","Reference","80%",9201464116254.97,992040509.590924,25607418680643.4,23112.3758907101,-16405954564.3884,992017397.215034,16.5379706146748
"Ambitious","Long LIB Duration","High LIB Capacity","High Oil and Gas Supply","Improved MPG","0%",10723656850181.7,1417186126.3195,23702724937309.5,23100.3477906484,-12979068087.1278,1417163025.97171,9.15848624982892
"Ambitious","Long LIB Duration","High LIB Capacity","High Oil and Gas Supply","Improved MPG","20%",10729970275348.7,1310899718.71576,23702724937309.5,23100.3477906484,-12972754661.9608,1310876618.36797,9.89624384185887
"Ambitious","Long LIB Duration","High LIB Capacity","High Oil and Gas Supply","Improved MPG","40%",10736283700515.7,1204613311.11203,23702724937309.5,23100.3477906484,-12966441236.7938,1204590210.76423,10.7641927693962
"Ambitious","Long LIB Duration","High LIB Capacity","High Oil and Gas Supply","Improved MPG","60%",10742597125682.7,1098326903.50829,23702724937309.5,23100.3477906484,-12960127811.6268,1098303803.1605,11.8001301409797
"Ambitious","Long LIB Duration","High LIB Capacity","High Oil and Gas Supply","Improved MPG","80%",10748910550849.7,992040495.904554,23702724937309.5,23100.3477906484,-12953814386.4598,992017395.556764,13.0580516475616
"Ambitious","Long LIB Duration","High LIB Capacity","High Oil and Gas Supply","Reference","0%",10723656850181.7,1417186126.3195,25607418680643.4,23112.3758907101,-14883761830.4617,1417163013.94361,10.5025051345674
"Ambitious","Long LIB Duration","High LIB Capacity","High Oil and Gas Supply","Reference","20%",10729970275348.7,1310899718.71576,25607418680643.4,23112.3758907101,-14877448405.2947,1310876606.33987,11.3492363303625
"Ambitious","Long LIB Duration","High LIB Capacity","High Oil and Gas Supply","Reference","40%",10736283700515.7,1204613311.11203,25607418680643.4,23112.3758907101,-14871134980.1277,1204590198.73613,12.3453893247103
"Ambitious","Long LIB Duration","High LIB Capacity","High Oil and Gas Supply","Reference","60%",10742597125682.7,1098326903.50829,25607418680643.4,23112.3758907101,-14864821554.9607,1098303791.1324,13.5343442087498
"Ambitious","Long LIB Duration","High LIB Capacity","High Oil and Gas Supply","Reference","80%",10748910550849.7,992040495.904554,25607418680643.4,23112.3758907101,-14858508129.7937,992017383.528664,14.9780723367378
"Ambitious","Long LIB Duration","High LIB Capacity","Low Oil and Gas Supply","Improved MPG","0%",8801096331531.99,1417186164.3408,23702724937309.5,23100.3477906484,-14901628605.7775,1417163063.99301,10.5151121874363
"Ambitious","Long LIB Duration","High LIB Capacity","Low Oil and Gas Supply","Improved MPG","20%",8807409756699,1310899756.73706,23702724937309.5,23100.3477906484,-14895315180.6105,1310876656.38927,11.3628655358306
"Ambitious","Long LIB Duration","High LIB Capacity","Low Oil and Gas Supply","Improved MPG","40%",8813723181866.01,1204613349.13333,23702724937309.5,23100.3477906484,-14889001755.4435,1204590248.78554,12.3602210547981
"Ambitious","Long LIB Duration","High LIB Capacity","Low Oil and Gas Supply","Improved MPG","60%",8820036607033.01,1098326941.52959,23702724937309.5,23100.3477906484,-14882688330.2765,1098303841.1818,13.5506111990488
"Ambitious","Long LIB Duration","High LIB Capacity","Low Oil and Gas Supply","Improved MPG","80%",8826350032200.02,992040533.925855,23702724937309.5,23100.3477906484,-14876374905.1095,992017433.578064,14.9960821267551
"Ambitious","Long LIB Duration","High LIB Capacity","Low Oil and Gas Supply","Reference","0%",8801096331531.99,1417186164.3408,25607418680643.4,23112.3758907101,-16806322349.1114,1417163051.96491,11.8591310476302
