"key","vehicle_type","Impact_Name","Abbr","value","x","abb_lab","abb_lab2","col_text"
"Critical minerals","ICE","Barium","Ba",36.3770536604877,0.116562562508199,"Ba","Ba","special"
"Critical minerals","ICE","Aluminium","Al",13.259810205283,0.0424882529059509,"Al","Al","special"
"Fossil energy","EV","Other","Other",142.899706500961,0.0114844286192491,"","Other","normal"
"Fossil energy","EV","Uranium","Uran.",0.0762502960263499,6.12801175980958e-06,"","Uran.","normal"
"Fossil energy","EV","Natural gas","NG",1421.18636240662,0.114216563024217,"NG","","normal"
"Fossil energy","EV","Oil","Oil",506.595127235099,0.0407135586212822,"Oil","","normal"
"Fossil energy","EV","Coal","Coal",2449.7621157888,0.196880167509146,"Coal","","normal"
"Fossil energy","ICE","Other","Other",3.8762271463625,0.000311520961550024,"","Other","normal"
"Fossil energy","ICE","Uranium","Uran.",0.00821512191942673,6.60225157855382e-07,"","Uran.","normal"
"Fossil energy","ICE","Natural gas","NG",673.254501017154,0.0541074817355742,"NG","","normal"
"Fossil energy","ICE","Oil","Oil",5927.37495241541,0.476365670772612,"Oil","","normal"
"Fossil energy","ICE","Coal","Coal",1317.87608843309,0.105913820519451,"Coal","","normal"
"80% Recycling","EV","Zinc","Zn",5.71699860566596,0.0212515662615563,"","Zn","normal"
"80% Recycling","EV","REE","REE",0.277754642829903,0.0010324860304679,"","REE","normal"
"80% Recycling","EV","Silicon","Si",49.360973968149,0.183487539769459,"Si","Si","normal"
"80% Recycling","EV","Nickel","Ni",9.91281264248196,0.0368484950304722,"Ni","Ni","normal"
"80% Recycling","EV","Manganese","Mn",9.11735200673382,0.0338915615807583,"Mn","Mn","normal"
"80% Recycling","EV","Magnesium","Mg",13.0804162052182,0.0486232988474812,"Mg","Mg","normal"
"80% Recycling","EV","Lithium","Li",0.885039725133127,0.00328992215323189,"","Li","normal"
"80% Recycling","EV","Lead","Pb",0.771553178559096,0.0028680632320275,"","Pb","normal"
"80% Recycling","EV","Copper","Cu",29.2512888341792,0.108734625591722,"Cu","Cu","normal"
"80% Recycling","EV","Cobalt","Co",0.532761616895949,0.00198041307756437,"","Co","normal"
"80% Recycling","EV","Chromium","Cr",6.82549140295368,0.0253721214264065,"","Cr","normal"
"80% Recycling","EV","Barium","Ba",28.0869471904755,0.104406465782878,"Ba","Ba","special"
"80% Recycling","EV","Aluminium","Al",32.7638611664673,0.121791767777159,"Al","Al","special"
"80% Recycling","ICE","Zinc","Zn",10.817016679157,0.0402096558991004,"Zn","Zn","normal"
"80% Recycling","ICE","REE","REE",0.0910598117088911,0.00033849293235413,"","REE","normal"
"80% Recycling","ICE","Silicon","Si",1.06853975967829,0.00397203936404763,"","Si","normal"
"80% Recycling","ICE","Nickel","Ni",2.94749362485094,0.01095659810236,"","Ni","normal"
"80% Recycling","ICE","Manganese","Mn",6.52130343653341,0.0242413758778696,"","Mn","normal"
"80% Recycling","ICE","Magnesium","Mg",3.06418468575203,0.0113903690342635,"","Mg","normal"
"80% Recycling","ICE","Lithium","Li",2.32228143594195e-05,8.63252227576041e-08,"","Li","normal"
"80% Recycling","ICE","Lead","Pb",1.86515095010987,0.00693324972386404,"","Pb","normal"
"80% Recycling","ICE","Copper","Cu",4.29043390007372,0.0159486553360149,"","Cu","normal"
"80% Recycling","ICE","Cobalt","Co",0.0188318105891791,7.0002723135945e-05,"","Co","normal"
"80% Recycling","ICE","Chromium","Cr",2.11124740540012,0.00784805406213198,"","Cr","normal"
"80% Recycling","ICE","Barium","Ba",36.3770536604877,0.135222941195031,"Ba","Ba","special"
"80% Recycling","ICE","Aluminium","Al",13.259810205283,0.0492901528634196,"Al","Al","special"
