"vehicle_type","minCO2","maxCO2","scen"
"ICEV",23026.2694315453,24892.9278689533,"MPG Improvement"
"EV",9491.88684836259,11037.2050866732,"LIB Lifetime"
"EV",9254.02261362743,10002.7095724968,"LIB Capacity"
"EV",8749.13035223224,10609.3723190715,"Electricity Grid"
