"Scenario","Year","Vehicle","age","modelYear","LIB"
"Ambitious-Reference",2031,"Cars",4,2027,19740
"Ambitious-Reference",2031,"Cars",5,2026,25585
"Ambitious-Reference",2031,"Cars",6,2025,32012
"Ambitious-Reference",2031,"Cars",7,2024,28943
"Ambitious-Reference",2031,"Cars",8,2023,23907
"Ambitious-Reference",2031,"Cars",9,2022,31228
"Ambitious-Reference",2031,"Cars",10,2021,19650
"Ambitious-Reference",2031,"Cars",11,2020,14428
"Ambitious-Reference",2031,"Cars",12,2019,16259
"Ambitious-Reference",2031,"Cars",13,2018,17254
"Ambitious-Reference",2031,"Cars",14,2017,8734
"Ambitious-Reference",2031,"Cars",15,2016,22590
"Ambitious-Reference",2032,"Cars",0,2032,6941
"Ambitious-Reference",2032,"Cars",1,2031,9942
"Ambitious-Reference",2032,"Cars",2,2030,14228
"Ambitious-Reference",2032,"Cars",3,2029,19094
"Ambitious-Reference",2032,"Cars",4,2028,24337
"Ambitious-Reference",2032,"Cars",5,2027,30714
"Ambitious-Reference",2032,"Cars",6,2026,39560
"Ambitious-Reference",2032,"Cars",7,2025,49019
"Ambitious-Reference",2032,"Cars",8,2024,43658
"Ambitious-Reference",2032,"Cars",9,2023,35251
"Ambitious-Reference",2032,"Cars",10,2022,44526
"Ambitious-Reference",2032,"Cars",11,2021,26688
"Ambitious-Reference",2032,"Cars",12,2020,18155
"Ambitious-Reference",2032,"Cars",13,2019,18644
"Ambitious-Reference",2032,"Cars",14,2018,17630
"Ambitious-Reference",2032,"Cars",15,2017,7816
"Ambitious-Reference",2032,"Cars",16,2016,17554
"Ambitious-Reference",2033,"Cars",0,2033,7713
"Ambitious-Reference",2033,"Cars",1,2032,10903
"Ambitious-Reference",2033,"Cars",2,2031,15599
"Ambitious-Reference",2033,"Cars",3,2030,22287
"Ambitious-Reference",2033,"Cars",4,2029,29831
"Ambitious-Reference",2033,"Cars",5,2028,37870
"Ambitious-Reference",2033,"Cars",6,2027,47484
"Ambitious-Reference",2033,"Cars",7,2026,60570
"Ambitious-Reference",2033,"Cars",8,2025,73941
"Ambitious-Reference",2033,"Cars",9,2024,64377
"Ambitious-Reference",2033,"Cars",10,2023,50254
"Ambitious-Reference",2033,"Cars",11,2022,60474
"Ambitious-Reference",2033,"Cars",12,2021,33582
"Ambitious-Reference",2033,"Cars",13,2020,20814
"Ambitious-Reference",2033,"Cars",14,2019,19049
"Ambitious-Reference",2033,"Cars",15,2018,15772
"Ambitious-Reference",2033,"Cars",16,2017,6073
"Ambitious-Reference",2033,"Cars",17,2016,11871
"Ambitious-Reference",2034,"Cars",0,2034,8486
"Ambitious-Reference",2034,"Cars",1,2033,12114
"Ambitious-Reference",2034,"Cars",2,2032,17106
"Ambitious-Reference",2034,"Cars",3,2031,24434
"Ambitious-Reference",2034,"Cars",4,2030,34820
"Ambitious-Reference",2034,"Cars",5,2029,46417
"Ambitious-Reference",2034,"Cars",6,2028,58555
"Ambitious-Reference",2034,"Cars",7,2027,72696
"Ambitious-Reference",2034,"Cars",8,2026,91357
"Ambitious-Reference",2034,"Cars",9,2025,109029
"Ambitious-Reference",2034,"Cars",10,2024,91780
"Ambitious-Reference",2034,"Cars",11,2023,68241
"Ambitious-Reference",2034,"Cars",12,2022,76096
"Ambitious-Reference",2034,"Cars",13,2021,38501
"Ambitious-Reference",2034,"Cars",14,2020,21262
"Ambitious-Reference",2034,"Cars",15,2019,17041
"Ambitious-Reference",2034,"Cars",16,2018,12248
"Ambitious-Reference",2034,"Cars",17,2017,4106
"Ambitious-Reference",2034,"Cars",18,2016,7075
"Ambitious-Reference",2035,"Cars",0,2035,9774
"Ambitious-Reference",2035,"Cars",1,2034,13328
"Ambitious-Reference",2035,"Cars",2,2033,19005
