"Scenario","Year","age","fleet"
"Momentum",2038,13,1787332
"Momentum",2038,14,1017475
"Momentum",2038,15,529542
"Momentum",2038,16,321326
"Momentum",2038,17,91297
"Momentum",2038,18,31795
"Momentum",2038,19,17016
"Momentum",2038,20,9020
"Momentum",2038,21,2971
"Momentum",2038,22,4221
"Momentum",2039,0,11461653
"Momentum",2039,1,11266294
"Momentum",2039,2,11056833
"Momentum",2039,3,10860228
"Momentum",2039,4,10647086
"Momentum",2039,5,10171518
"Momentum",2039,6,9756129
"Momentum",2039,7,8785093
"Momentum",2039,8,7755991
"Momentum",2039,9,6505637
"Momentum",2039,10,5701053
"Momentum",2039,11,4305616
"Momentum",2039,12,3585733
"Momentum",2039,13,2460071
"Momentum",2039,14,1412263
"Momentum",2039,15,753887
"Momentum",2039,16,369697
"Momentum",2039,17,209284
"Momentum",2039,18,56080
"Momentum",2039,19,19000
"Momentum",2039,20,9822
"Momentum",2039,21,5029
"Momentum",2039,22,1670
"Momentum",2039,23,2346
"Momentum",2040,0,11672632
"Momentum",2040,1,11457017
"Momentum",2040,2,11259131
"Momentum",2040,3,11045791
"Momentum",2040,4,10843211
"Momentum",2040,5,10620952
"Momentum",2040,6,10132510
"Momentum",2040,7,9697900
"Momentum",2040,8,8703968
"Momentum",2040,9,7646126
"Momentum",2040,10,6365970
"Momentum",2040,11,5518501
"Momentum",2040,12,4104026
"Momentum",2040,13,3345829
"Momentum",2040,14,1945755
"Momentum",2040,15,1047399
"Momentum",2040,16,524534
"Momentum",2040,17,244183
"Momentum",2040,18,129608
"Momentum",2040,19,32904
"Momentum",2040,20,10923
"Momentum",2040,21,5483
"Momentum",2040,22,2721
"Momentum",2040,23,910
"Momentum",2040,24,1285
"Momentum",2041,0,11822454
"Momentum",2041,1,11667910
"Momentum",2041,2,11449733
"Momentum",2041,3,11247888
"Momentum",2041,4,11028483
"Momentum",2041,5,10816596
"Momentum",2041,6,10580221
"Momentum",2041,7,10072034
"Momentum",2041,8,9608346
"Momentum",2041,9,8580674
"Momentum",2041,10,7481973
"Momentum",2041,11,6162126
"Momentum",2041,12,5260123
"Momentum",2041,13,3829450
"Momentum",2041,14,2650333
"Momentum",2041,15,1445331
"Momentum",2041,16,729891
"Momentum",2041,17,344837
"Momentum",2041,18,153976
"Momentum",2041,19,77065
"Momentum",2041,20,18552
"Momentum",2041,21,6063
"Momentum",2041,22,2964
"Momentum",2041,23,1424
"Momentum",2041,24,483
"Momentum",2041,25,684
"Momentum",2042,0,11977705
"Momentum",2042,1,11817672
"Momentum",2042,2,11660492
"Momentum",2042,3,11438299
"Momentum",2042,4,11230263
"Momentum",2042,5,11001413
"Momentum",2042,6,10775113
"Momentum",2042,7,10517073
"Momentum",2042,8,9979025
"Momentum",2042,9,9472242
"Momentum",2042,10,8396459
"Momentum",2042,11,7242395
"Momentum",2042,12,5873617
"Momentum",2042,13,4908198
"Momentum",2042,14,3033030
"Momentum",2042,15,1973556
"Momentum",2042,16,1009576
"Momentum",2042,17,481010
"Momentum",2042,18,216219
"Momentum",2042,19,93541
"Momentum",2042,20,44354
"Momentum",2042,21,10088
"Momentum",2042,22,3251
"Momentum",2042,23,1552
"Momentum",2042,24,723
"Momentum",2042,25,248
"Momentum",2042,26,352
"Momentum",2043,0,12121409
"Momentum",2043,1,11972861
"Momentum",2043,2,11810159
"Momentum",2043,3,11648848
"Momentum",2043,4,11420376
"Momentum",2043,5,11202698
"Momentum",2043,6,10959222
"Momentum",2043,7,10710802
"Momentum",2043,8,10419954
"Momentum",2043,9,9837670
"Momentum",2043,10,9268885
"Momentum",2043,11,8127599
"Momentum",2043,12,6903310
"Momentum",2043,13,5480654
"Momentum",2043,14,3889177
"Momentum",2043,15,2258009
"Momentum",2043,16,1383759
"Momentum",2043,17,667544
"Momentum",2043,18,302677
"Momentum",2043,19,130569
"Momentum",2043,20,55138
"Momentum",2043,21,24841
"Momentum",2043,22,5300
"Momentum",2043,23,1682
"Momentum",2043,24,782
"Momentum",2043,25,354
"Momentum",2043,26,117
"Momentum",2043,27,169
"Momentum",2044,0,12271397
"Momentum",2044,1,12116506
"Momentum",2044,2,11965248
"Momentum",2044,3,11798365
"Momentum",2044,4,11630594
"Momentum",2044,5,11392344
"Momentum",2044,6,11159735
"Momentum",2044,7,10893812
"Momentum",2044,8,10611895
"Momentum",2044,9,10272353
"Momentum",2044,10,9626469
"Momentum",2044,11,8972091
"Momentum",2044,12,7747071
"Momentum",2044,13,6441463
"Momentum",2044,14,4342400
"Momentum",2044,15,2897635
"Momentum",2044,16,1582580
"Momentum",2044,17,919859
"Momentum",2044,18,421908
"Momentum",2044,19,183673
"Momentum",2044,20,76537
"Momentum",2044,21,31673
"Momentum",2044,22,13572
"Momentum",2044,23,2693
"Momentum",2044,24,843
"Momentum",2044,25,377
"Momentum",2044,26,164
"Momentum",2044,27,49
"Momentum",2044,28,76
"Momentum",2045,0,12485114
"Momentum",2045,1,12266433
"Momentum",2045,2,12108803
"Momentum",2045,3,11953299
"Momentum",2045,4,11779877
"Momentum",2045,5,11602047
"Momentum",2045,6,11348654
"Momentum",2045,7,11093128
"Momentum",2045,8,10793215
"Momentum",2045,9,10461575
"Momentum",2045,10,10051820
"Momentum",2045,11,9318225
"Momentum",2045,12,8552027
"Momentum",2045,13,7228783
"Momentum",2045,14,5104628
"Momentum",2045,15,3234782
"Momentum",2045,16,2033455
"Momentum",2045,17,1051360
"Momentum",2045,18,585423
"Momentum",2045,19,257439
"Momentum",2045,20,108343
"Momentum",2045,21,43766
"Momentum",2045,22,17767
"Momentum",2045,23,7233
"Momentum",2045,24,1323
"Momentum",2045,25,404
"Momentum",2045,26,179
"Momentum",2045,27,63
"Momentum",2045,28,17
"Momentum",2045,29,34
"Momentum",2046,0,12691338
"Momentum",2046,1,12480064
"Momentum",2046,2,12258634
"Momentum",2046,3,12096711
"Momentum",2046,4,11934569
"Momentum",2046,5,11750963
"Momentum",2046,6,11557552
"Momentum",2046,7,11280919
"Momentum",2046,8,10990690
"Momentum",2046,9,10640327
"Momentum",2046,10,10236980
"Momentum",2046,11,9729957
"Momentum",2046,12,8881958
"Momentum",2046,13,7979894
"Momentum",2046,14,5728568
"Momentum",2046,15,3803781
"Momentum",2046,16,2269386
"Momentum",2046,17,1353487
"Momentum",2046,18,668472
"Momentum",2046,19,360187
"Momentum",2046,20,152849
"Momentum",2046,21,62423
"Momentum",2046,22,24457
"Momentum",2046,23,9726
"Momentum",2046,24,3752
"Momentum",2046,25,625
"Momentum",2046,26,187
"Momentum",2046,27,72
"Momentum",2046,28,25
"Momentum",2046,29,5
"Momentum",2047,0,12858018
"Momentum",2047,1,12686204
"Momentum",2047,2,12472129
"Momentum",2047,3,12246392
"Momentum",2047,4,12077756
"Momentum",2047,5,11905275
"Momentum",2047,6,11705898
"Momentum",2047,7,11488571
"Momentum",2047,8,11176747
"Momentum",2047,9,10835005
"Momentum",2047,10,10411894
"Momentum",2047,11,9909189
"Momentum",2047,12,9274418
"Momentum",2047,13,8287764
"Momentum",2047,14,6323648
"Momentum",2047,15,4268687
"Momentum",2047,16,2669864
"Momentum",2047,17,1509764
"Momentum",2047,18,862862
"Momentum",2047,19,410724
"Momentum",2047,20,215850
"Momentum",2047,21,88717
"Momentum",2047,22,35183
"Momentum",2047,23,13349
"Momentum",2047,24,5182
"Momentum",2047,25,1887
"Momentum",2047,26,282
"Momentum",2047,27,79
"Momentum",2047,28,27
"Momentum",2047,29,6
"Momentum",2048,0,13004137
"Momentum",2048,1,12852817
"Momentum",2048,2,12678139
"Momentum",2048,3,12459674
"Momentum",2048,4,12227203
"Momentum",2048,5,12048110
"Momentum",2048,6,11859618
"Momentum",2048,7,11636031
"Momentum",2048,8,11382481
"Momentum",2048,9,11018426
"Momentum",2048,10,10602393
"Momentum",2048,11,10078503
"Momentum",2048,12,9445261
"Momentum",2048,13,8653979
"Momentum",2048,14,6565977
"Momentum",2048,15,4711854
"Momentum",2048,16,2996056
"Momentum",2048,17,1777390
"Momentum",2048,18,961710
"Momentum",2048,19,531957
"Momentum",2048,20,245688
"Momentum",2048,21,126536
"Momentum",2048,22,50410
"Momentum",2048,23,19381
"Momentum",2048,24,7095
"Momentum",2048,25,2679
"Momentum",2048,26,917
"Momentum",2048,27,124
"Momentum",2048,28,27
"Momentum",2048,29,6
"Momentum",2049,0,13193944
"Momentum",2049,1,12998877
"Momentum",2049,2,12844645
"Momentum",2049,3,12665478
"Momentum",2049,4,12440150
"Momentum",2049,5,12197191
"Momentum",2049,6,12001905
"Momentum",2049,7,11788834
"Momentum",2049,8,11528579
"Momentum",2049,9,11221246
"Momentum",2049,10,10781876
"Momentum",2049,11,10262902
"Momentum",2049,12,9606651
"Momentum",2049,13,8813403
"Momentum",2049,14,6854472
"Momentum",2049,15,4890221
"Momentum",2049,16,3306697
"Momentum",2049,17,1994299
"Momentum",2049,18,1133125
"Momentum",2049,19,592172
"Momentum",2049,20,319477
"Momentum",2049,21,143700
"Momentum",2049,22,72650
"Momentum",2049,23,28001
"Momentum",2049,24,10399
"Momentum",2049,25,3657
"Momentum",2049,26,1334
"Momentum",2049,27,430
"Momentum",2049,28,42
"Momentum",2049,29,5
"Momentum",2050,0,13426069
"Momentum",2050,1,13188608
"Momentum",2050,2,12990613
"Momentum",2050,3,12831818
"Momentum",2050,4,12645632
"Momentum",2050,5,12409615
"Momentum",2050,6,12150414
"Momentum",2050,7,11930272
"Momentum",2050,8,11679971
"Momentum",2050,9,11365275
"Momentum",2050,10,10980342
"Momentum",2050,11,10436639
"Momentum",2050,12,9782419
"Momentum",2050,13,8964090
"Momentum",2050,14,6979517
"Momentum",2050,15,5102905
"Momentum",2050,16,3429221
"Momentum",2050,17,2200522
"Momentum",2050,18,1271048
"Momentum",2050,19,698342
"Momentum",2050,20,355033
"Momentum",2050,21,187689
"Momentum",2050,22,82284
"Momentum",2050,23,40791
"Momentum",2050,24,15155
"Momentum",2050,25,5411
"Momentum",2050,26,1821
"Momentum",2050,27,639
"Momentum",2050,28,188
"Momentum",2050,29,11
