"State","NAMELSAD","STATEFP","COUNTYFP","NAME","pop","Region_Transport","Region_EMM","Region_Electricity_EIA","Region_ecoinvent_detail","Region_ecoinvent"
"Nebraska","Cuming County","31","039","Cuming",8918,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Washington","Wahkiakum County","53","069","Wahkiakum",4765,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"New Mexico","De Baca County","35","011","De Baca",1657,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"Nebraska","Lancaster County","31","109","Lancaster",326716,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Nebraska","Nuckolls County","31","129","Nuckolls",4095,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"South Dakota","Minnehaha County","46","099","Minnehaha",206930,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Texas","Menard County","48","327","Menard",1958,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"California","Sierra County","06","091","Sierra",3200,"Pacific","CANO","Western Electricity Coordinating Council / California North","WECC California","US-WECC"
"Kentucky","Clinton County","21","053","Clinton",9148,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Ohio","Hancock County","39","063","Hancock",74704,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Texas","Hale County","48","189","Hale",31761,"West South Central","SPPS","Southwest Power Pool / South","ERCOT All","US-TRE"
"Alabama","Clay County","01","027","Clay",14111,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Texas","Armstrong County","48","011","Armstrong",1832,"West South Central","SPPS","Southwest Power Pool / South","ERCOT All","US-TRE"
"Ohio","Allen County","39","003","Allen",100838,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Georgia","McDuffie County","13","189","McDuffie",21799,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Wisconsin","Sauk County","55","111","Sauk",65920,"East North Central","MISW","Midcontinent / West","MRO East","US-MRO"
"Arkansas","Stone County","05","137","Stone",12671,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Oregon","Wallowa County","41","063","Wallowa",7674,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Pennsylvania","Beaver County","42","007","Beaver",165631,"Middle Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Mississippi","Jasper County","28","061","Jasper",16013,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Missouri","Henry County","29","083","Henry",22485,"West North Central","SPPC","Southwest Power Pool / Central","SERC Midwest","US-SERC"
"Colorado","Saguache County","08","109","Saguache",6688,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"North Carolina","Chatham County","37","037","Chatham",81624,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Utah","Rich County","49","033","Rich",2670,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Oklahoma","Adair County","40","001","Adair",19627,"West South Central","SPPS","Southwest Power Pool / South","SERC Mississippi Valley","US-SERC"
"Ohio","Lake County","39","085","Lake",231640,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Virginia","Salem city","51","775","Salem",25600,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Virginia","Montgomery County","51","121","Montgomery",98666,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Tennessee","Hamilton County","47","065","Hamilton",379864,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"New Mexico","Otero County","35","035","Otero",68835,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"New Mexico","Catron County","35","003","Catron",3825,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"Alabama","Marengo County","01","091","Marengo",18684,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Wyoming","Lincoln County","56","023","Lincoln",20880,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Missouri","Barton County","29","011","Barton",11731,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Texas","Calhoun County","48","057","Calhoun",19696,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Virginia","Poquoson city","51","735","Poquoson",12635,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"West Virginia","Pocahontas County","54","075","Pocahontas",7765,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Texas","Clay County","48","077","Clay",10738,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Virginia","James City County","51","095","James City",82654,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Nebraska","Keith County","31","101","Keith",8113,"West North Central","SPPN","Southwest Power Pool / North","WECC Rockies","US-WECC"
"Nebraska","Phelps County","31","137","Phelps",9057,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Louisiana","Calcasieu Parish","22","019","Calcasieu",203761,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Louisiana","Union Parish","22","111","Union",20650,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Oklahoma","Sequoyah County","40","135","Sequoyah",40291,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Alabama","DeKalb County","01","049","DeKalb",72569,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"New York","Steuben County","36","101","Steuben",92162,"Middle Atlantic","NYUP","Northeast Power Coordinating Council / Upstate New York","NPCC Upstate NY","US-NPCC"
"Pennsylvania","Forest County","42","053","Forest",6449,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Louisiana","Tangipahoa Parish","22","105","Tangipahoa",138064,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Virginia","Stafford County","51","179","Stafford",165428,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Michigan","Menominee County","26","109","Menominee",22945,"East North Central","MISW","Midcontinent / West","MRO East","US-MRO"
"Indiana","Jasper County","18","073","Jasper",33535,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"Georgia","Brantley County","13","025","Brantley",18401,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Georgia","Lamar County","13","171","Lamar",20401,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Indiana","Steuben County","18","151","Steuben",34917,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Texas","Orange County","48","361","Orange",85722,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Ohio","Fayette County","39","047","Fayette",28817,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Massachusetts","Hampshire County","25","015","Hampshire",162502,"New England","ISNE","Northeast Power Coordinating Council / New England","NPCC New England","US-NPCC"
"Kentucky","Allen County","21","003","Allen",21788,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"North Carolina","Alamance County","37","001","Alamance",179165,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Kansas","Greenwood County","20","073","Greenwood",5870,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Massachusetts","Suffolk County","25","025","Suffolk",768425,"New England","ISNE","Northeast Power Coordinating Council / New England","NPCC New England","US-NPCC"
"Idaho","Jefferson County","16","051","Jefferson",34198,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Texas","Gonzales County","48","177","Gonzales",19930,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Tennessee","Marion County","47","115","Marion",29382,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Michigan","Alpena County","26","007","Alpena",28904,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"Kentucky","Wayne County","21","231","Wayne",19580,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Tennessee","White County","47","185","White",28692,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Texas","Fannin County","48","147","Fannin",37571,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Kansas","Doniphan County","20","043","Doniphan",7493,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Texas","Kerr County","48","265","Kerr",53915,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Florida","Hernando County","12","053","Hernando",212807,"South Atlantic","FRCC","Florida Reliability Coordinating Council","FRCC All","US-SERC"
"Florida","Wakulla County","12","129","Wakulla",36449,"South Atlantic","FRCC","Florida Reliability Coordinating Council","FRCC All","US-SERC"
"Florida","Walton County","12","131","Walton",86354,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Mississippi","Chickasaw County","28","017","Chickasaw",16866,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Alaska","Ketchikan Gateway Borough","02","130","Ketchikan Gateway",13738,"Pacific",NA,NA,"ASCC Miscellaneous","US-ASCC"
"Michigan","Clare County","26","035","Clare",31316,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"Kansas","Republic County","20","157","Republic",4627,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Florida","Volusia County","12","127","Volusia",590357,"South Atlantic","FRCC","Florida Reliability Coordinating Council","FRCC All","US-SERC"
"Oklahoma","Canadian County","40","017","Canadian",175829,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Georgia","Floyd County","13","115","Floyd",100113,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Nevada","Churchill County","32","001","Churchill",25803,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Nebraska","Webster County","31","181","Webster",3351,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Illinois","Hancock County","17","067","Hancock",17186,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"South Dakota","Hutchinson County","46","067","Hutchinson",7394,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Oregon","Crook County","41","013","Crook",26952,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Vermont","Franklin County","50","011","Franklin",50994,"New England","ISNE","Northeast Power Coordinating Council / New England","NPCC New England","US-NPCC"
"Michigan","Marquette County","26","103","Marquette",66999,"East North Central","MISW","Midcontinent / West","MRO East","US-MRO"
"North Carolina","Davidson County","37","057","Davidson",174804,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Illinois","Clay County","17","025","Clay",12999,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Missouri","Knox County","29","103","Knox",3723,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Missouri","Livingston County","29","117","Livingston",14557,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Pennsylvania","Tioga County","42","117","Tioga",40840,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Nebraska","Dakota County","31","043","Dakota",21268,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Michigan","Leelanau County","26","089","Leelanau",23019,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"Virginia","Surry County","51","181","Surry",6593,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Texas","Refugio County","48","391","Refugio",6666,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Ohio","Butler County","39","017","Butler",393043,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Georgia","Terrell County","13","273","Terrell",8718,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Georgia","Clayton County","13","063","Clayton",298300,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Wyoming","Fremont County","56","013","Fremont",39815,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Rockies","US-WECC"
"Indiana","Ohio County","18","115","Ohio",6004,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"Georgia","Columbia County","13","073","Columbia",165162,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Colorado","Sedgwick County","08","115","Sedgwick",2299,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Montana","Musselshell County","30","065","Musselshell",5308,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Pennsylvania","Dauphin County","42","043","Dauphin",289234,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"South Dakota","Moody County","46","101","Moody",6450,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"West Virginia","Putnam County","54","079","Putnam",56962,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"New Jersey","Sussex County","34","037","Sussex",146132,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Kansas","Decatur County","20","039","Decatur",2712,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Indiana","Perry County","18","123","Perry",19209,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"Mississippi","Union County","28","145","Union",28284,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Nebraska","Boyd County","31","015","Boyd",1725,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Minnesota","Mille Lacs County","27","095","Mille Lacs",27427,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"North Dakota","Walsh County","38","099","Walsh",10305,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Ohio","Morgan County","39","115","Morgan",13646,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Ohio","Portage County","39","133","Portage",162665,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Wyoming","Uinta County","56","041","Uinta",20745,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Nevada","Humboldt County","32","013","Humboldt",17136,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Texas","Jim Hogg County","48","247","Jim Hogg",4720,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Colorado","Cheyenne County","08","017","Cheyenne",1727,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Oregon","Clackamas County","41","005","Clackamas",423173,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Arkansas","Polk County","05","113","Polk",19436,"West South Central","SPPS","Southwest Power Pool / South","SERC Mississippi Valley","US-SERC"
"Georgia","Macon County","13","193","Macon",11817,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Indiana","Benton County","18","007","Benton",8729,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"Tennessee","Morgan County","47","129","Morgan",21573,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"South Dakota","Douglas County","46","043","Douglas",2838,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Maryland","Worcester County","24","047","Worcester",54171,"South Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Illinois","Wabash County","17","185","Wabash",10942,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Indiana","Huntington County","18","069","Huntington",36781,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Kentucky","Scott County","21","209","Scott",60168,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Iowa","Decatur County","19","053","Decatur",7665,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Indiana","Wabash County","18","169","Wabash",30670,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Indiana","Allen County","18","003","Allen",394545,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Indiana","Marshall County","18","099","Marshall",46352,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Nebraska","Thomas County","31","171","Thomas",677,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"North Dakota","Sioux County","38","085","Sioux",3643,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Texas","Dimmit County","48","127","Dimmit",8257,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Minnesota","Fillmore County","27","045","Fillmore",21522,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"South Carolina","Chester County","45","023","Chester",32226,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Minnesota","Lac qui Parle County","27","073","Lac qui Parle",6630,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Utah","Cache County","49","005","Cache",142393,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Wisconsin","Pierce County","55","093","Pierce",43026,"East North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Georgia","Charlton County","13","049","Charlton",12934,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Georgia","Polk County","13","233","Polk",44223,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Illinois","McLean County","17","113","McLean",170441,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Maine","Androscoggin County","23","001","Androscoggin",113765,"New England","ISNE","Northeast Power Coordinating Council / New England","NPCC New England","US-NPCC"
"Idaho","Kootenai County","16","055","Kootenai",185010,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Nevada","Clark County","32","003","Clark",2336573,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Southwest","US-WECC"
"Kansas","Phillips County","20","147","Phillips",4761,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Nebraska","Holt County","31","089","Holt",10093,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Missouri","Johnson County","29","101","Johnson",54962,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Wisconsin","La Crosse County","55","063","La Crosse",120486,"East North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Louisiana","Caldwell Parish","22","021","Caldwell",9389,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Kentucky","Edmonson County","21","061","Edmonson",12448,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Illinois","Bond County","17","005","Bond",16450,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Illinois","Brown County","17","009","Brown",6294,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Minnesota","McLeod County","27","085","McLeod",36785,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Wisconsin","Dunn County","55","033","Dunn",45794,"East North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Colorado","Custer County","08","027","Custer",5534,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Missouri","Madison County","29","123","Madison",12698,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Texas","Nolan County","48","353","Nolan",14306,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Pennsylvania","Wayne County","42","127","Wayne",51262,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"New York","Saratoga County","36","091","Saratoga",238711,"Middle Atlantic","NYUP","Northeast Power Coordinating Council / Upstate New York","NPCC Upstate NY","US-NPCC"
"Texas","Brazos County","48","041","Brazos",244703,"West South Central","MISS","Midcontinent / South","ERCOT All","US-TRE"
"Oklahoma","Marshall County","40","095","Marshall",15970,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Maryland","Allegany County","24","001","Allegany",67273,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"West Virginia","Wetzel County","54","103","Wetzel",13890,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Wisconsin","Jackson County","55","053","Jackson",20855,"East North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Oregon","Clatsop County","41","007","Clatsop",41102,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Washington","Lewis County","53","041","Lewis",86154,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"New York","Allegany County","36","003","Allegany",46651,"Middle Atlantic","NYUP","Northeast Power Coordinating Council / Upstate New York","NPCC Upstate NY","US-NPCC"
"Iowa","Cedar County","19","031","Cedar",18302,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Indiana","Orange County","18","117","Orange",19638,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"Georgia","DeKalb County","13","089","DeKalb",762992,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Georgia","Pickens County","13","227","Pickens",35969,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Montana","Chouteau County","30","015","Chouteau",5847,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Nebraska","Brown County","31","017","Brown",2853,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Tennessee","Campbell County","47","013","Campbell",40223,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"North Carolina","Franklin County","37","069","Franklin",77001,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Maryland","Baltimore city","24","510","Baltimore",565239,"South Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Kansas","Lyon County","20","111","Lyon",32172,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Iowa","Carroll County","19","027","Carroll",20522,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Louisiana","Tensas Parish","22","107","Tensas",3764,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Tennessee","Monroe County","47","123","Monroe",48594,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Kansas","Hamilton County","20","075","Hamilton",2437,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Iowa","Pocahontas County","19","151","Pocahontas",6976,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Idaho","Gem County","16","045","Gem",21071,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Arkansas","Independence County","05","063","Independence",38320,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Arkansas","Lonoke County","05","085","Lonoke",75944,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Indiana","Newton County","18","111","Newton",13960,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"Georgia","Franklin County","13","119","Franklin",24782,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Florida","Hendry County","12","051","Hendry",43333,"South Atlantic","FRCC","Florida Reliability Coordinating Council","FRCC All","US-SERC"
"Georgia","Taliaferro County","13","265","Taliaferro",1609,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Texas","Jefferson County","48","245","Jefferson",251496,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Montana","Meagher County","30","059","Meagher",2071,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Colorado","La Plata County","08","067","La Plata",56407,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Texas","Bell County","48","027","Bell",393193,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Mississippi","Kemper County","28","069","Kemper",8584,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC Tennessee Valley","US-SERC"
"Arkansas","Clark County","05","019","Clark",21274,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Oregon","Klamath County","41","035","Klamath",70003,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"New York","Oswego County","36","075","Oswego",118162,"Middle Atlantic","NYUP","Northeast Power Coordinating Council / Upstate New York","NPCC Upstate NY","US-NPCC"
"Alabama","Cherokee County","01","019","Cherokee",25666,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Texas","Bandera County","48","019","Bandera",22637,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Montana","Rosebud County","30","087","Rosebud",8160,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","MRO West","US-MRO"
"New Mexico","Union County","35","059","Union",3964,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"Michigan","Schoolcraft County","26","153","Schoolcraft",8149,"East North Central","MISW","Midcontinent / West","MRO East","US-MRO"
"New York","Ulster County","36","111","Ulster",182333,"Middle Atlantic","NYUP","Northeast Power Coordinating Council / Upstate New York","NPCC Upstate NY","US-NPCC"
"New Jersey","Camden County","34","007","Camden",527196,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Illinois","Jersey County","17","083","Jersey",21091,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Virginia","Hanover County","51","085","Hanover",114148,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Kansas","Wallace County","20","199","Wallace",1509,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Michigan","Alger County","26","003","Alger",8757,"East North Central","MISW","Midcontinent / West","MRO East","US-MRO"
"Arkansas","Fulton County","05","049","Fulton",12421,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Texas","Hidalgo County","48","215","Hidalgo",898471,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"North Carolina","Robeson County","37","155","Robeson",117365,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Michigan","Newaygo County","26","123","Newaygo",51108,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"Oregon","Morrow County","41","049","Morrow",12302,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Minnesota","Todd County","27","153","Todd",25667,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Arkansas","Logan County","05","083","Logan",21400,"West South Central","SPPS","Southwest Power Pool / South","SERC Mississippi Valley","US-SERC"
