"State","NAMELSAD","STATEFP","COUNTYFP","NAME","pop","Region_Transport","Region_EMM","Region_Electricity_EIA","Region_ecoinvent_detail","Region_ecoinvent"
"Kansas","Morris County","20","127","Morris",5334,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Iowa","Davis County","19","051","Davis",9169,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Idaho","Boise County","16","015","Boise",8517,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Wisconsin","Monroe County","55","081","Monroe",46151,"East North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"North Carolina","Perquimans County","37","143","Perquimans",13377,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Florida","Hamilton County","12","047","Hamilton",13471,"South Atlantic","FRCC","Florida Reliability Coordinating Council","FRCC All","US-SERC"
"Alaska","Matanuska-Susitna Borough","02","170","Matanuska-Susitna",115239,"Pacific",NA,NA,"ASCC Alaska Grid","US-ASCC"
"Indiana","Delaware County","18","035","Delaware",112321,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Florida","Levy County","12","075","Levy",46545,"South Atlantic","FRCC","Florida Reliability Coordinating Council","FRCC All","US-SERC"
"Mississippi","Hancock County","28","045","Hancock",46159,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Georgia","Wilcox County","13","315","Wilcox",8779,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Louisiana","Red River Parish","22","081","Red River",7356,"West South Central","SPPS","Southwest Power Pool / South","SERC Mississippi Valley","US-SERC"
"Tennessee","Knox County","47","093","Knox",500669,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Maine","Oxford County","23","017","Oxford",59905,"New England","ISNE","Northeast Power Coordinating Council / New England","NPCC New England","US-NPCC"
"Missouri","Jackson County","29","095","Jackson",718560,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Georgia","Towns County","13","281","Towns",13035,"South Atlantic","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Mississippi","Smith County","28","129","Smith",14099,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Idaho","Payette County","16","075","Payette",27279,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Idaho","Shoshone County","16","079","Shoshone",14026,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"North Carolina","Hyde County","37","095","Hyde",4607,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Iowa","Floyd County","19","067","Floyd",15326,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Kentucky","McCracken County","21","145","McCracken",67428,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Kentucky","Union County","21","225","Union",13106,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"South Dakota","Turner County","46","125","Turner",9027,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Tennessee","Cocke County","47","029","Cocke",37404,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Tennessee","Hancock County","47","067","Hancock",6956,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Tennessee","Hardin County","47","071","Hardin",27229,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"South Carolina","Marion County","45","067","Marion",28508,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Louisiana","Washington Parish","22","117","Washington",44865,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Missouri","Stoddard County","29","207","Stoddard",28397,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Georgia","Dooly County","13","093","Dooly",10981,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Minnesota","Stearns County","27","145","Stearns",160977,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Nebraska","Saunders County","31","155","Saunders",23463,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Minnesota","Sherburne County","27","141","Sherburne",102206,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"South Dakota","Davison County","46","035","Davison",19922,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Tennessee","Claiborne County","47","025","Claiborne",32654,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Texas","Montague County","48","337","Montague",21598,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Texas","Brown County","48","049","Brown",38709,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Wisconsin","Racine County","55","101","Racine",196613,"East North Central","MISW","Midcontinent / West","RFC West","US-RFC"
"Wisconsin","Shawano County","55","115","Shawano",41109,"East North Central","MISW","Midcontinent / West","RFC West","US-RFC"
"Iowa","Audubon County","19","009","Audubon",5534,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Texas","Haskell County","48","207","Haskell",5385,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Oklahoma","Logan County","40","083","Logan",53029,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"New York","Oneida County","36","065","Oneida",227555,"Middle Atlantic","NYUP","Northeast Power Coordinating Council / Upstate New York","NPCC Upstate NY","US-NPCC"
"Colorado","Lake County","08","065","Lake",7365,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Oklahoma","Pittsburg County","40","121","Pittsburg",43479,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"West Virginia","Doddridge County","54","017","Doddridge",7680,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"West Virginia","Wirt County","54","105","Wirt",5000,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"New Hampshire","Carroll County","33","003","Carroll",52448,"New England","ISNE","Northeast Power Coordinating Council / New England","NPCC New England","US-NPCC"
"West Virginia","Tyler County","54","095","Tyler",7919,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Minnesota","Le Sueur County","27","079","Le Sueur",29255,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Washington","Douglas County","53","017","Douglas",44798,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"New York","Cattaraugus County","36","009","Cattaraugus",75600,"Middle Atlantic","NYUP","Northeast Power Coordinating Council / Upstate New York","NPCC Upstate NY","US-NPCC"
"Wisconsin","Dodge County","55","027","Dodge",88231,"East North Central","MISW","Midcontinent / West","RFC West","US-RFC"
"Iowa","Jones County","19","105","Jones",20900,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Kansas","Barber County","20","007","Barber",4071,"West North Central","SPPC","Southwest Power Pool / Central","SPP South","US-MRO"
"Missouri","Pulaski County","29","169","Pulaski",53812,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Alabama","Dale County","01","045","Dale",49871,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
