"Scenario","Year","State","vehSize","total_gallons"
"Ambitious",2022,"West Virginia","Car",364134.874238702
"Ambitious",2022,"West Virginia","Light Truck",761068.570918904
"Ambitious",2022,"Wisconsin","Car",2696672.17969717
"Ambitious",2022,"Wisconsin","Light Truck",7341310.89005184
"Ambitious",2022,"Wyoming","Car",147305.860823123
"Ambitious",2022,"Wyoming","Light Truck",371361.05130662
"Ambitious",2023,"Alabama","Car",2298240.59835126
"Ambitious",2023,"Alabama","Light Truck",5118383.06860796
"Ambitious",2023,"Alaska","Car",593289.42523748
"Ambitious",2023,"Alaska","Light Truck",1139452.35565184
"Ambitious",2023,"Arizona","Car",15251438.0873678
"Ambitious",2023,"Arizona","Light Truck",38498059.3437447
"Ambitious",2023,"Arkansas","Car",1287746.91987738
"Ambitious",2023,"Arkansas","Light Truck",2837160.10669131
"Ambitious",2023,"California","Car",235082089.654741
"Ambitious",2023,"California","Light Truck",451298917.228843
"Ambitious",2023,"Colorado","Car",15892878.1943888
"Ambitious",2023,"Colorado","Light Truck",40100911.0759746
"Ambitious",2023,"Connecticut","Car",5295211.15597447
"Ambitious",2023,"Connecticut","Light Truck",13976698.9912849
"Ambitious",2023,"Delaware","Car",1597078.13153704
"Ambitious",2023,"Delaware","Light Truck",3335746.89213734
"Ambitious",2023,"District of Columbia","Car",1525609.32962864
"Ambitious",2023,"District of Columbia","Light Truck",3183043.80152219
"Ambitious",2023,"Florida","Car",46956535.4119862
"Ambitious",2023,"Florida","Light Truck",98052853.4522843
"Ambitious",2023,"Georgia","Car",17429619.0408169
"Ambitious",2023,"Georgia","Light Truck",36309520.9170323
"Ambitious",2023,"Hawaii","Car",4851571.15829056
"Ambitious",2023,"Hawaii","Light Truck",9303198.53207561
"Ambitious",2023,"Idaho","Car",1502668.87287026
"Ambitious",2023,"Idaho","Light Truck",3793206.14753804
"Ambitious",2023,"Illinois","Car",16546505.637951
"Ambitious",2023,"Illinois","Light Truck",45098709.5025331
"Ambitious",2023,"Indiana","Car",4280578.06326228
"Ambitious",2023,"Indiana","Light Truck",11668534.1094164
"Ambitious",2023,"Iowa","Car",1460972.24619994
"Ambitious",2023,"Iowa","Light Truck",4246603.2616384
"Ambitious",2023,"Kansas","Car",1763317.11592282
"Ambitious",2023,"Kansas","Light Truck",5122878.77530648
"Ambitious",2023,"Kentucky","Car",2106143.268969
"Ambitious",2023,"Kentucky","Light Truck",4689867.22323354
"Ambitious",2023,"Louisiana","Car",1452764.15089218
"Ambitious",2023,"Louisiana","Light Truck",3198948.23827555
"Ambitious",2023,"Maine","Car",1309207.766981
"Ambitious",2023,"Maine","Light Truck",3458522.83151651
"Ambitious",2023,"Maryland","Car",13689910.2570034
"Ambitious",2023,"Maryland","Light Truck",28582164.2200168
"Ambitious",2023,"Massachusetts","Car",12491431.0909812
"Ambitious",2023,"Massachusetts","Light Truck",32991748.9612467
"Ambitious",2023,"Michigan","Car",8505709.59167874
"Ambitious",2023,"Michigan","Light Truck",23205772.6645116
"Ambitious",2023,"Minnesota","Car",6238416.12049998
"Ambitious",2023,"Minnesota","Light Truck",18129544.492629
"Ambitious",2023,"Mississippi","Car",637764.092636711
"Ambitious",2023,"Mississippi","Light Truck",1420829.2326378
"Ambitious",2023,"Missouri","Car",4173648.92218647
"Ambitious",2023,"Missouri","Light Truck",12128902.8180305
"Ambitious",2023,"Montana","Car",853338.086478184
"Ambitious",2023,"Montana","Light Truck",2154514.72882786
"Ambitious",2023,"Nebraska","Car",1106856.49983029
"Ambitious",2023,"Nebraska","Light Truck",3216769.13242784
"Ambitious",2023,"Nevada","Car",8131962.2265298
"Ambitious",2023,"Nevada","Light Truck",20533189.1314113
"Ambitious",2023,"New Hampshire","Car",1721499.67721591
"Ambitious",2023,"New Hampshire","Light Truck",4547430.46692159
"Ambitious",2023,"New Jersey","Car",23149050.9499356
"Ambitious",2023,"New Jersey","Light Truck",58068087.4406613
"Ambitious",2023,"New Mexico","Car",1742897.10186528
"Ambitious",2023,"New Mexico","Light Truck",4399748.12559327
"Ambitious",2023,"New York","Car",22805610.2741663
"Ambitious",2023,"New York","Light Truck",57178760.7145319
"Ambitious",2023,"North Carolina","Car",13013174.1171071
"Ambitious",2023,"North Carolina","Light Truck",27172635.1587797
"Ambitious",2023,"North Dakota","Car",171915.590274082
"Ambitious",2023,"North Dakota","Light Truck",499255.802248687
"Ambitious",2023,"Ohio","Car",8240546.30101488
"Ambitious",2023,"Ohio","Light Truck",22464060.4790623
"Ambitious",2023,"Oklahoma","Car",4224502.59189321
"Ambitious",2023,"Oklahoma","Light Truck",9298108.5664806
"Ambitious",2023,"Oregon","Car",12826267.5658347
"Ambitious",2023,"Oregon","Light Truck",24620363.4860776
"Ambitious",2023,"Pennsylvania","Car",12159371.560062
"Ambitious",2023,"Pennsylvania","Light Truck",30492355.4979784
"Ambitious",2023,"Rhode Island","Car",1076853.51375169
"Ambitious",2023,"Rhode Island","Light Truck",2844816.13110537
"Ambitious",2023,"South Carolina","Car",3849659.15178487
"Ambitious",2023,"South Carolina","Light Truck",8040088.13925356
"Ambitious",2023,"South Dakota","Car",283024.414722488
"Ambitious",2023,"South Dakota","Light Truck",822591.977633461
"Ambitious",2023,"Tennessee","Car",5943145.35837519
"Ambitious",2023,"Tennessee","Light Truck",13228922.5286618
"Ambitious",2023,"Texas","Car",41568478.7269589
"Ambitious",2023,"Texas","Light Truck",91527828.6706221
"Ambitious",2023,"Utah","Car",7033834.81576745
"Ambitious",2023,"Utah","Light Truck",17751742.2700188
"Ambitious",2023,"Vermont","Car",1380880.25241152
"Ambitious",2023,"Vermont","Light Truck",3645263.10232162
"Ambitious",2023,"Virginia","Car",15956567.2193017
"Ambitious",2023,"Virginia","Light Truck",33316247.5059431
"Ambitious",2023,"Washington","Car",30869630.640338
"Ambitious",2023,"Washington","Light Truck",59281494.4852451
"Ambitious",2023,"West Virginia","Car",534791.785253014
"Ambitious",2023,"West Virginia","Light Truck",1117309.21286158
"Ambitious",2023,"Wisconsin","Car",4279914.89148818
"Ambitious",2023,"Wisconsin","Light Truck",11660105.4835416
"Ambitious",2023,"Wyoming","Car",201799.531104147
"Ambitious",2023,"Wyoming","Light Truck",509239.976816134
"Ambitious",2024,"Alabama","Car",4035705.35743428
"Ambitious",2024,"Alabama","Light Truck",8987757.55725386
"Ambitious",2024,"Alaska","Car",934973.592742754
"Ambitious",2024,"Alaska","Light Truck",1796030.7049071
"Ambitious",2024,"Arizona","Car",22705792.4042828
"Ambitious",2024,"Arizona","Light Truck",57273317.1933619
"Ambitious",2024,"Arkansas","Car",2177650.18370918
"Ambitious",2024,"Arkansas","Light Truck",4797686.79261184
"Ambitious",2024,"California","Car",349654435.17464
"Ambitious",2024,"California","Light Truck",671054543.392285
"Ambitious",2024,"Colorado","Car",25364301.6793702
"Ambitious",2024,"Colorado","Light Truck",64002293.2660079
"Ambitious",2024,"Connecticut","Car",8303518.23213948
"Ambitious",2024,"Connecticut","Light Truck",21914963.2306853
"Ambitious",2024,"Delaware","Car",2652457.32270153
"Ambitious",2024,"Delaware","Light Truck",5538960.71323105
"Ambitious",2024,"District of Columbia","Car",2283758.1478776
"Ambitious",2024,"District of Columbia","Light Truck",4764162.02548013
"Ambitious",2024,"Florida","Car",75886207.0806407
"Ambitious",2024,"Florida","Light Truck",158448981.978773
"Ambitious",2024,"Georgia","Car",28347754.4020519
"Ambitious",2024,"Georgia","Light Truck",59066290.4750359
"Ambitious",2024,"Hawaii","Car",6832603.25015913
