"Scenario","Year","age","modelYear","vehSize","LIB"
"Ambitious-Long",2027,0,2027,"Car",386.090059419821
"Ambitious-Long",2027,0,2027,"Light Truck",686.90994058018
"Ambitious-Long",2027,1,2026,"Car",523.806008441269
"Ambitious-Long",2027,1,2026,"Light Truck",887.193991558731
"Ambitious-Long",2027,2,2025,"Car",696.94492945196
"Ambitious-Long",2027,2,2025,"Light Truck",1107.05507054804
"Ambitious-Long",2027,3,2024,"Car",621.673488814757
"Ambitious-Long",2027,3,2024,"Light Truck",1056.32651118524
"Ambitious-Long",2027,4,2023,"Car",593.21237309663
"Ambitious-Long",2027,4,2023,"Light Truck",878.78762690337
"Ambitious-Long",2027,5,2022,"Car",996.043249425663
"Ambitious-Long",2027,5,2022,"Light Truck",1467.95675057434
"Ambitious-Long",2027,6,2021,"Car",683.326836687421
"Ambitious-Long",2027,6,2021,"Light Truck",1013.67316331258
"Ambitious-Long",2027,7,2020,"Car",572.630594328373
"Ambitious-Long",2027,7,2020,"Light Truck",852.369405671626
"Ambitious-Long",2027,8,2019,"Car",795.959958431272
"Ambitious-Long",2027,8,2019,"Light Truck",1169.04004156873
"Ambitious-Long",2027,9,2018,"Car",1128.29277454881
"Ambitious-Long",2027,9,2018,"Light Truck",1640.70722545119
"Ambitious-Long",2027,10,2017,"Car",845.794905126143
"Ambitious-Long",2027,10,2017,"Light Truck",1213.20509487386
"Ambitious-Long",2027,11,2016,"Car",3639.3661966973
"Ambitious-Long",2027,11,2016,"Light Truck",5132.63380330269
"Ambitious-Long",2028,0,2028,"Car",470.573666168328
"Ambitious-Long",2028,0,2028,"Light Truck",855.426333831671
"Ambitious-Long",2028,1,2027,"Car",608.443545057349
"Ambitious-Long",2028,1,2027,"Light Truck",1081.55645494265
"Ambitious-Long",2028,2,2026,"Car",825.831181899707
"Ambitious-Long",2028,2,2026,"Light Truck",1399.16881810029
"Ambitious-Long",2028,3,2025,"Car",1100.24036783284
"Ambitious-Long",2028,3,2025,"Light Truck",1746.75963216716
"Ambitious-Long",2028,4,2024,"Car",1046.03496534248
"Ambitious-Long",2028,4,2024,"Light Truck",1762.96503465752
"Ambitious-Long",2028,5,2023,"Car",1123.1541330301
"Ambitious-Long",2028,5,2023,"Light Truck",1663.8458669699
"Ambitious-Long",2028,6,2022,"Car",1554.29638556886
"Ambitious-Long",2028,6,2022,"Light Truck",2290.70361443114
